File	Row	OriginalMID	FinalMID	Manufacturer	Address
999-32980463-J.xlsx	395	CNGUAJIN0945GUA	CNGUAJIN945GUA	Guangzhou Jingyu Clothing Co., Ltd.	Room 0945, 3rd Floor, Building B, Guangzhou Shanshi Trading Co., Ltd., 14 Shengtang Avenue, Changxing Street, Tianhe District, Guangzhou City, Guangdong Province, China
999-32980463-J.xlsx	396	CNYIWLUA382JIN	CNYIWLUA38JIN	Yiwu Luanguo E-commerce Firm	3rd Floor, Yiwu Xinhe Silk Flower Factory, No. 38-2 Xingong Road, Beiyuan Street, Yiwu City, Jinhua City, Zhejiang Province, China
999-32980463-J.xlsx	400	CNXINYIL1113HUL	CNXINYIL11HUL	Xingcheng Yilaijia Garment Factory	Xingcheng City Milian Garment Co., Ltd., No. 11-13 Tiexi Street, Yangan Manchu Township, Xingcheng City, Huludao City, Liaoning Province, China
999-32980463-J.xlsx	405	CNGUAZHO106GUA	CNGUAZHO1GUA	Guangzhou Zhongxin Garment Co., Ltd.	Building 1, Guangzhou Wanshishun Trading Co., Ltd., 106 Fengze East Road, Nansha Street, Nansha District, Guangzhou City, Guangdong Province, China
999-32980463-J.xlsx	410	CNFOSXIL2FOS	CNFOSXIL1FOS	Foshan Xile Beibei Clothing Co., Ltd.	2nd Floor, Building 1, Dongsheng 2nd Street Industrial Park, Dongsheng 2nd Street, Zumiao Street, Chancheng District, Foshan City, Guangdong Province, China
999-32980463-J.xlsx	428	CNFOSYUA34FOS	CNFOSYUA3FOS	Foshan Yuanhua Garment Co., Ltd.	No. 3, 34th, Beidong Village, Shencun, No. 9 Outang Avenue, Shiwan Town Street, Chancheng District, Foshan City, Guangdong Province, China
999-32980463-J.xlsx	433	CNYIWZHI148JIN	CNYIWZHI50JIN	Yiwu Zhixuan Daily Necessities Co., Ltd.	1st Floor, No. 50, Chouyanli, Dielai Sanshe, No. 148, 502 Township Road, Houzhai Street, Yiwu City, Jinhua City, Zhejiang Province, China
999-32980463-J.xlsx	436	CNGUABOF13GUA	CNGUABOF3GUA	Guangzhou Bofan Garment Co., Ltd.	Ground Floor, Guangzhou Taitan Leather Goods Co., Ltd., No. 3, 13 Xiaoshanfang Street, Nancun Town, Panyu District, Guangzhou City, Guangdong Province, China
999-32980463-J.xlsx	438	CNZHOHAO44ZHO	CNZHOHAO1ZHO	Zhongshan Haoyi Clothing Co., Ltd.	Unit 1, 4th Floor, 4th Card, No. 44, Yunhan Road Section, Qijiang Highway, Saxi Town, Zhongshan City, Guangdong Province, China
999-32980463-J.xlsx	440	CNGUADIB5GUA	CNGUADIB3GUA	Guangzhou Dibeiming Garment Co., Ltd.	5th Floor, Guangzhou Dibeiming Garment Co., Ltd., No. 3, Huayuan Road, Xintang Town, Zengcheng District, Guangzhou City, Guangdong Province, China
999-32980463-J.xlsx	442	CNFOSAUG26FOS	CNFOSAUG1FOS	Foshan August 8 Clothing Co., Ltd.	3rd Floor, Building 1, Foshan Baisha Apartments, 26 Huangqi Sanxiang Road, Daliang Town, Nanhai District, Foshan City, Guangdong Province, China
999-32980463-J.xlsx	443	CNFOSYUW78FOS	CNFOSYUW7FOS	Foshan Yuwei Clothing Co., Ltd.	2nd Floor, Building A, Xiashi Industrial Zone, No. 7-8, Chaoan North Road, Zumiao Street, Chancheng District, Foshan City, Guangdong Province, China
999-32980463-J.xlsx	445	CNGUAHUA106GUA	CNGUAHUA1GUA	Guangzhou Huatong Garment Co., Ltd.	Building 1, Guangzhou Wanshishun Trading Co., Ltd., No. 106 Fengze East Road, Nansha Street, Nansha District, Guangzhou City, Guangdong Province, China
999-32980463-J.xlsx	452	CNGUAYIH4GUA	CNGUAYIH1GUA	Guangzhou Yihan Clothing Co., Ltd.	4th Floor, Miniature Fire Station at the Foot of Tangxi Bridge, No. 1 Tangjing Street, Tangjing Street, Baiyun District, Guangzhou City, Guangdong Province, China
999-32980463-J.xlsx	474	CNGUAOFE106GUA	CNGUAOFE1GUA	Guangzhou Ofeier Clothing Co., Ltd.	Building 1, Guangzhou Wanshishun Trading Co., Ltd., No. 106 Fengze East Road, Nansha Street, Nansha District, Guangzhou City, Guangdong Province, China
999-32980463-J.xlsx	475	CNGUAHAI301GUA	CNGUAHAI13GUA	Guangzhou Haizhu District Ou Renwei Garment Factory	301, No. 13, Lane 5, West Street, Houjiao, Nanzhou Street, Haizhu District, Guangzhou City, Guangdong Province, China
999-32980463-J.xlsx	476	CNDANYUK009ZHO	CNDANYUK9ZHO	Dancheng Yukai Garment Factory	009 Wang Xiaolou, Nanfeng Town, Dancheng County, Zhoukou City, Henan Province, China
